,Name,Explanation,Action,Commonly known as,Abbrevations,See also,
,Kidney Disease,"Includes Acute Nephritis
Chronic Nephritis
Chronic Renal Failure

","Accept if not immunosuppressed
If immunosuppressed see entry ""immunosuppression""
",,,Immunosuppression,
,Kidney Recipient,,,,,"Tissue and Organ Recipients
Immunosuppression
",
,Klinefelter’s Syndrome,"Klinefelter syndrome or Klinefelter's syndrome, is the set of symptoms resulting from additional X genetic material in males. Also known as 47,XXY or XXY , is a genetic disorder in which there is at least one extra X chromosome to a standard human male karyotype, for a total of 47 chromosomes rather than the 46 found in genetically normal humans.
This chromosome constitution (karyotype) exists in roughly between 1:500 to 1:1000 live male births. It is the most common sex chromosome aneuploidy in males and the second most common condition caused by the presence of extra chromosomes.
",Accept,,,Congenital Disorders,
,Laser Treatment (Surgery),"Laser treatment (other than refractive laser surgery to the cornea) does not affect the cornea. This will include laser treatment used in diabetic retinopathy, macular degeneration and that used in cataract surgery.
Laser treatment for refractive errors involves only the anterior segment of the cornea and will not affect the posterior segment. Corneas that have undergone refractive surgery should not be used for penetrating keratoplasty or anterior keratoplasty due to concerns about structural integrity of the cornea. However, these corneas may be suitable for posterior keratoplasty although there needs to be an awareness of the refractive procedure to avoid any concerns or complications during the donor cornea cutting process.","Accept if applied to other parts of the body (eg. for skin lesions, cosmetic purposes).
Accept if laser on eyes was:
a) for retinal surgery
b) for cataract surgery or related
Accept only for posterior keratoplasty purposes:
c) if laser treatment was refractive surgery to the cornea (and now healed)",,LASIK,"If laser treatment was related to malignancy, see Malignancy

Refractive Surgery",
,Lassa Fever,"Lassa fever or Lassa hemorrhagic fever (LHF) is an acute viral hemorrhagic fever caused by the Lassa virus and first described in 1969 in the town of Lassa, in Borno State, Nigeria. The Lassa Fever is a member of the arenaviridiae virus family and is similar to Ebola. 
The virus is probably transmitted by contact with the faeces or urine of animals accessing grain stores in residences (particularly rodents). Further human-to-human transmission is thought to be via infected faeces or urine. Given its high rate of incidence, lassa fever has become a major problem in the African region killing about 5,000 people per annum (15-20% fatal).",Must not donate if less than 12 months following recovery.,Lassa haemorrhagic fever,LHF,,
,Legionnaire's Disease,"Legionnaires disease is a potentially fatal pneumonia caused most commonly by Legionella pneumophila, a gram negative, aerobic bacteria that is carried by amoeba that thrive in stagnant water.",,,,Infection - Acute,
,Leishmaniasis,"Leishmaniasis is a disease caused by protozoan parasites that belong to the genus Leishmania and is transmitted by the bite of certain species of sand fly. Most forms of the disease are transmissible only from non-human animals (zoonosis), but some can be spread between humans.  Cutaneous leishmaniasis is the most common form, which causes a sore at the bite site, which heals in a few months to a year, leaving an unpleasant-looking scar. 
As corneas are avascular there is not considered to be a risk of transmitting protozoal infections of this type.",Accept for corneas not for sclera,Includes Kala-azar,,,
,Leptospirosis,"Leptospirosis (also known as Weil's syndrome, canicola fever, canefield fever, nanukayami fever, 7-day fever, Rat Catcher's Yellows, Fort Bragg fever, black jaundice, and Pretibial fever, is caused by infection with bacteria of the genus Leptospira and affects humans as well as other animals. It is among the world's most common diseases transmitted to people from animals. The infection is commonly transmitted to humans by allowing water that has been contaminated by animal urine to come in contact with unhealed breaks in the skin, the eyes, or with the mucous membranes. The disease is not known to be spread from person to person.
Symptoms of leptospirosis include high fever, severe headache, chills, muscle aches, and vomiting, and may include jaundice, red eyes, abdominal pain, diarrhoea, and rash. Initial presentation may resemble pneumonia. The symptoms in humans appear after a 4–14 day incubation period. More severe manifestations include meningitis, extreme fatigue, hearing loss, respiratory distress, azotaemia, and renal interstitial tubular necrosis, which results in renal failure and occasionally liver failure.
Occupations at risk include veterinarians, slaughterhouse workers, farmers, sewer maintenance workers, waste disposal facility workers, land surveyors and people working on derelict buildings. Slaughterhouse workers may contract the disease through contact with infected blood or body fluids. Rowers, kayakers and canoeists are also sometimes known to contract the disease.",,"Weil's Syndrome, Canicola fever, canefield fever,nanukayami fever, 7-day fever, Rat Catcher's Yellows, Fort Bragg fever, black jaundice, Pretibial fever",,Infection - Acute,
,Lesbian,,Accept,,,,
,Leukaemia,"Leukaemia is a type of cancer of the blood or bone marrow characterised by an abnormal increase of immature white blood cells called ""blasts"". Leukaemia is a broad term covering a spectrum of diseases.
The following list is not comprehensive:
• Acute lymphoblastic leukaemia (ALL) is the most common type of leukaemia in young children.
• Chronic lymphocytic leukaemia (CLL) most often affects adults over the age of 55. It sometimes occurs in younger adults, but it almost never affects children. 
• Acute myeloid leukaemia (AML) occurs more commonly in adults than in children.
• Chronic myeloid leukaemia (CML) occurs mainly in adults.
• Hairy cell leukaemia (HCL) is sometimes considered a subset of chronic lymphocytic leukaemia, but does not fit neatly into this pattern. About 80% of affected people are adult men. No cases in children have been reported. 
• T-cell prolymphocytic leukaemia (T-PLL) is a very rare and aggressive leukaemia.
• Large granular lymphocytic leukaemia may involve either T-cells or NK cells, it is a rare and indolent (not aggressive) leukaemia.
• Adult T-cell leukaemia is caused by human T-lymphotropic virus (HTLV), a virus similar to HIV. Human T cell lymphotropic virus types I and II (HTLV-I/II) are endemic in certain areas of the world.
The eye/corneal donation contraindication appears to be for two reasons:
a) Wide dissemination of the malignancy throughout the body, spread through the blood and lymphatic system
b) Viruses have also been linked to some forms of leukaemia. Experiments on mice and other mammals have demonstrated the relevance of retroviruses in leukaemia, and human retroviruses have also been identified. The first human retrovirus identified was human T-lymphotropic virus, or HTLV-1, which is known to cause adult T-cell leukaemia.
Virus aetiology relates to the virus damaging the cell or creating DNA mutations, either of which can trigger leukaemia by activating oncogenes or deactivating tumour suppressor genes, and thereby disrupting the regulation of cell death, differentiation or division.",Must not donate,"Includes (but not limited to)
Acute lymphoblastic leukaemia (ALL).
Chronic lymphocytic leukaemia (CLL).
Acute myeloid leukaemia (AML).
Chronic myeloid leukaemia (CML).
Hairy cell leukaemia (HCL).
Adult T-cell leukemia is caused by human T-lymphotropic virus (HTLV).","ALL, CLL, AML, CML, CMML, HCL",Malignancy,
,Listeriosis (Listeria infection),"Listeriosis is a bacterial infection most commonly caused by Listeria monocytogenes. It primarily causes infections of the central nervous system (meningitis, meningoencephalitis, brain abscess, cerebritis) and bacteraemia in those who are immunocompromised, pregnant women, and those at the extremes of age (newborns and the elderly). It can also result in gastroenteritis in healthy persons who have ingested a large inoculum of the organism. Listeria is ubiquitous in the environment and is primarily transmitted via the oral route after ingestion of contaminated food products, after which the organism penetrates the intestinal tract to cause systemic infections.",,Listeria,,Infection - Acute,
,Lyme Disease,,,,,Borreliosis,
,Lyssavirus,,,,,Australian Bat Lyssavirus,
,Lymphogranuloma Venereum,"Lymphogranuloma venereum (also known as Climatic bubo, Durand–Nicolas–Favre disease, Poradenitis inguinale, and Strumous bubo) is a sexually transmitted disease caused by Chlamydia trachomatis.",Must not donate,"Climatic bubo, Durand–Nicolas–Favre disease, Poradenitis inguinale, and Strumous bubo",,Chlamydia,
,Lymphoma,"Lymphoma is a type of haematological neoplasm that occurs when B or T lymphocytes, divide faster than normal cells or live longer than they are supposed to. Lymphoma may develop in the lymph nodes, spleen, bone marrow, blood or other organs which eventually presents as a solid tumour.
Lymphomas are closely related to lymphoid leukaemias.",Must not donate,"Includes Hodgkin's Disease

Hodkin's Lymphoma, Non-Hodgkin's Lymphoma","HL, NHL",Hodgkin Lymphoma (Disease),
,Macular Degeneration,,,,,Age-related Macular Degeneration,
,Malaria,"As corneas are avascular there is not considered to be a risk of transmitting protozoal infections.
Cases of malaria transmission (by transfusion) have occurred many years after the donor was last at risk of becoming infected with malaria. This is mainly a problem in people who have had repeated episodes of infection with malaria, although this is uncommon. This means that is it safer to test for malaria antibodies rather than wait a specific length of time.
If malaria is confirmed in the donor, (as distinct risk) caution should perhaps be exercised for cornea donation.",Accept for corneas not for sclera,,,,
,Malignancy,"Many malignancies spread by invading surrounding tissues – thus the exclusion for malignancies of the eye.
Tissue from donors with any malignancy (disseminated or not) is not suitable for kerato-limbal procedures. This is based on the kerato-limbal region being considered vascularised.
Transmission of malignant melanoma from a donor with disseminated melanoma has been reported following a kerato-limbal allograft procedure.  Risk assessment following this transmission resulted in disseminated melanoma being an exclusion criteria for any form of transplantation. This does not exclude donors with diagnosed localised (non-disseminated) malignant melanomas that have been resected. Cornea and sclera are suitable for use from donors with non-melanoma malignancies as long as they are not local to the anterior segment.
Viruses that can be spread by blood and tissues can also cause some malignancies – thus the exclusion of haematological malignancies.
NB: Some (UK, EEBA) exclude the use of sclera when any malignancy is present","Accept for all cornea and sclera – except the below exclusions
Must not donate if:
a) Haematological malignancy
b) Malignant tumour of anterior segment
c) Disseminated melanoma
d) Retinoblastoma
Any malignancy is an exclusion for kerato-limbal allograft use.",Cancer,,"Basal Cell Carcinoma

Immunosuppression

Malignant (Disseminated) Melanoma",
,Malignant (Disseminated) Melanoma,Transmission of malignant melanoma from a donor with disseminated melanoma has been reported following a kerato-limbal allograft procedure.  Risk assessment following this transmission resulted in disseminated melanoma being an exclusion criteria for any form of transplantation. This does not exclude donors with diagnosed localised (non-disseminated) malignant melanomas that have been resected. Cornea and sclera are suitable for use from donors with non-melanoma malignancies as long as they are not local to the anterior segment.,Must not donate. Ocular Tissue from donors with any history of disseminated melanoma may not be released for any surgical use.,,,Malignancy,
,Marburg Fever,"Marburg virus disease (MVD) is the name for the human disease caused by any of the two marburgviruses Marburg virus (MARV) and Ravn virus (RAVV). MVD is a viral haemorrhagic fever (VHF), and the clinical symptoms are indistinguishable from Ebola virus disease (EVD).
The natural maintenance hosts of marburg viruses remain to be identified unequivocally. However, the isolation of both MARV and RAVV from bats and the association of several MVD outbreaks with bat-infested mines or caves strongly suggests that bats are involved in marburg virus transmission to humans. Avoidance of contact with bats and abstaining from visits to caves is highly recommended.",Must not donate if less than 12 months following recovery.,Marburg,,"Ebola

Infection - Tropical

Infection - Acute",
,Marfan's Syndrome,"Marfan's syndrome is a genetic disorder of the connective tissue. People with Marfan tend to be unusually tall, with long limbs and long, thin fingers.
Marfan syndrome can also seriously affect the eyes and vision. Nearsightedness and astigmatism are common, but farsightedness can also result. Subluxation (dislocation) of the crystalline lens in one or both eyes (ectopia lentis) (in 80% of patients) also occurs. Sometimes eye problems appear only after the weakening of connective tissue has caused detachment of the retina. Early onset glaucoma can be another related problem.",Must not donate,,,,
,Measles,"Measles is an infection of the respiratory system caused by a paramyxovirus of the genus Morbillivirus. It is spread through respiration (contact with fluids from an infected person's nose and mouth, either directly or through aerosol transmission), and is highly contagious—90% of people without immunity sharing living space with an infected person will catch it.
Complications with measles are relatively common, ranging from mild and less serious complications such as diarrhea to more serious ones such as pneumonia, otitis media, acute encephalitis (and very rarely SSPE – subacute sclerosing panencephalitis), and corneal ulceration (leading to corneal scarring). Complications are usually more severe in adults who catch the virus.",,,,"Infection - Acute

Infectious Diseases - Contact with",
,Measles Immunisation,,,,,Immunisation - Live,
,Measles Mumps Rubella (MMR) Immunisation,,,,,Immunisation - Live,
,Measles Rubella Immunisation,,,,,Immunisation - Live,
,Meniere's Disease,"Ménière's disease is a disorder of the inner ear that can affect hearing and balance to a varying degree. It is characterised by episodes of vertigo, low-pitched tinnitus, and hearing loss.
Ménière's disease is idiopathic, but it is believed to be linked to endolymphatic hydrops, an excess of fluid in the inner ear.",Accept,,,,
,Meningitis,"Meningitis is inflammation of the protective membranes covering the brain and spinal cord, known collectively as the meninges. The inflammation may be caused by infection with viruses, bacteria, or other microorganisms.
Bacterial
The types of bacteria that cause bacterial meningitis vary according to the infected individual's age group.
Viral
Viruses that cause meningitis include enteroviruses, herpes simplex virus type 2 (and less commonly type 1), varicella zoster virus, mumps virus, HIV, and LCMV.
Fungal
There are a number of risk factors for fungal meningitis, including the use of immunosuppressants (such as after organ transplantation), HIV/AIDS, and the loss of immunity associated with aging.
Parasitic
A parasitic cause is often assumed when there is a predominance of eosinophils in the CSF. The most common parasites implicated are Angiostrongylus cantonensis, Gnathostoma spinigerum, Schistosoma, as well as the conditions cysticercosis, toxocariasis, baylisascariasis, paragonimiasis, and a number of rarer infections and noninfective conditions.
Non-infectious
Meningitis may occur as the result of several non-infectious causes: spread of cancer to the meninges (malignant or neoplastic meningitis) and certain drugs (mainly non-steroidal anti-inflammatory drugs, antibiotics and intravenous immunoglobulins). It may also be caused by several inflammatory conditions, such as sarcoidosis (which is then called neurosarcoidosis), connective tissue disorders such as systemic lupus erythematosus, and certain forms of vasculitis.","Accept:
a) if caused by bacterial infection and the corneas are to be preserved by organ culture;
b) if caused by non-infectious disorders.",,,Infection - Acute,
,Meningococcal Meningitis Immunisation,,,,,Immunisation - Non-live,
,Mental Health Problems,"Many people have mental health problems that can be controlled with regular medication. There is no reason why they cannot donate whether on medication or not provided a firm diagnosis has been made and their condition has not deteriorated in the last 12 months. It is important to exclude other central nervous system disease including prion disease and rabies, which could present as new or deteriorating mental health problems.
Note for Schizophrenia.
Schizophrenia is a mental disorder characterized by a breakdown of thought processes and by a deficit of typical emotional responses. Common symptoms are delusions and disorganized thinking including auditory hallucinations, paranoia, bizarre delusions, disorganized speech, and it is accompanied by significant social or occupational dysfunction. Diagnosis is based on observed behaviour and the patient's reported experiences.  Further investigation as to the mental history of the potential donor and the exclusion of differential diagnoses of an insidious nature are warranted.","Accept If being treated or identified for depression, or bipolar disorder (manic-depression).
If the donor has had a new mental health problem within the last 12 months, or their condition has rapidly deteriorated in the last 12 months, further investigation of possible underlying causes and differential diagnoses are appropriate.",,MH,,
,Middle East Respiratory Syndrome coronavirus (MERS CoV),"Authorities currently recommend Infection control for managing suspected, probable and confirmed cases to be consistent with those recommended for SARS-CoV and pandemic influenza. In the absence of recognised donation advice (as of February 2015) to deferral periods above are the same as those for SARS.
As of 10 November 2015, the World Health Organization (WHO) global case count for MERS was 1,618 laboratory-confirmed cases, including at least 579 deaths (case fatality rate 36%) since the first cases were reported in September 2012.
All cases of MERS world-wide have had a history of residence in or travel to the Middle East (mainly Saudi Arabia, and United Arab Emirates (UAE), Qatar, Oman, Jordan, Kuwait, Lebanon and Yemen) or contact with travellers returning from these areas, or can be linked to an initial imported case. There have been no cases in Australia or NZ.
Camels are suspected to be the primary source of infection for humans, but the exact routes of direct or indirect exposure are not fully understood, and further studies (particularly case control studies) are needed. There is no evidence of ongoing community transmission in any country and only occasional instances of household transmission. Transmission in health care settings has been a feature of the outbreak.
Sporadic infections have typically presented with, or later developed severe acute lower respiratory disease and this has predominantly occurred in adult males with certain underlying medical conditions.
Mild or asymptomatic secondary infections have occurred in people of all ages, and have most frequently been associated with healthcare settings.","Must not donate if:
a) Less than 21 days from leaving Saudi Arabia, the United Arab Emirates (UAE), Qatar, Oman, Jordan, Kuwait, Lebanon or Yemen
b) Less than 21 days from last contact with a person with MERS
c) Less than 3 months since recovery form MERS or possible MERS
Accept if more than 21 days has passed since return from a MERS endemic area, or from last contact with a person affected by MERS and the donor has remained well",,"MERS, MERS CoV",,
,Motor Neuron(e) Disease,"The motor neuron diseases (MND) are a group of neurological disorders that selectively affect motor neurons, the cells that control voluntary muscle activity including speaking, walking, swallowing, and general movement of the body. They are generally progressive in nature, and cause increasingly debilitating disability and, eventually, death.
The cause of non-familial forms is unknown.",Must not donate,"Includes
Amytrophic lateral sclerosis / Lou Gehrig's disease
Progressive muscular atrophy
Primary lateral sclerosis
Progressive bulbar palsy","MND, ALS",,
,MRSA (Methicillin Resistant Staphylococcus Aureus),"Staphylococcus aureus is a widely occurring skin commensal organism. The carrier status or exposure of the donor is not relevant to donation.
(MRSA) is a bacterium responsible for several difficult-to-treat infections in humans. The evolution of antibiotic resistance does not cause the organism to be more intrinsically virulent than strains of Staphylococcus aureus that have no antibiotic resistance, but resistance does make MRSA infection more difficult to treat with standard types of antibiotics and thus more dangerous.",,,MRSA,Infection - General,
,"Multiple Resistant Organisms (MRO), Multiple Drug Resistance (MDR)","Multiple resistant organisms (MRO) , Multiple drug resistance (MDR), multi-drug resistance or multiresistance is a condition enabling disease-causing microrganisms (bacteria, viruses, fungi or parasites) to resist distinct antimicrobials, first and foremost antibiotics, but also antifungal drugs, antiviral medications, antiparasitic drugs, chemicals of a wide variety of structure and function targeted at eradicating the organism.

The most common types are (usually bacteria):
Vancomycin-Resistant Enterococci (VRE)
Methicillin-Resistant Staphylococcus aureus (MRSA)
Extended-spectrum ?-lactamase (ESBL) producing Gram-negative bacteria
Klebsiella pneumoniae carbapenemase (KPC) producing Gram-negatives
Multi-Drug Resistant Gram-negative rods (MDR GNR), MDRGN bacteria such as Enterobacter species, E.coli, Klebsiella pneumoniae, Acinetobacter baumannii, Pseudomonas aeruginosa

Generally antibiotic resistance does not cause the organism to be more intrinsically virulent, but resistance does make infection more difficult to treat with standard types of antibiotics and thus more dangerous.",,,"MRO, VRE, ESBL, KPC, MDR GNR","Infection - General

MRSA

Extended Spectrum Beta Lactamase (ESBL)",
,Multiple Sclerosis,"Multiple sclerosis (MS), also known as disseminated sclerosis or encephalomyelitis disseminata, is an inflammatory disease in which the insulating covers of nerve cells in the brain and spinal cord are damaged. This damage disrupts the ability of parts of the nervous system to communicate, resulting in a wide range of signs and symptoms, including physical, mental, and sometimes psychiatric problems.
While the cause is not clear, the underlying mechanism is thought to be either destruction by the immune system or failure of the myelin-producing cells. Proposed causes for this include genetics and environmental factors such as infections. Thus the contraindication to donation.",Must not donate,,MS,,
,Mumps,,,,,"Infection - Acute
Infectious Diseases - contact with",
,Mumps Immunisation,,,,,Immunisation - Live,
,Murray Valley encephalitis virus,"Murray Valley encephalitis virus (MVEV) is a zoonotic flavivirus endemic to northern Australia and Papua New Guinea. It is the causal agent of Murray Valley encephalitis (previously known as Australian encephalitis) and in humans can cause permanent neurological disease or death.
MVEV is a mosquito-borne virus that is maintained in a bird-mosquito-bird cycle. Water birds from the Ciconiiformes order, including herons and cormorants, provide the natural reservoir for MVEV.",Must not donate if within 12 months of last infection or recurrence,Australian encephalitis,MVEV,Arthropod Borne Encephalitis (Arbovirus infection),
,Muscular Dystrophy,"Muscular Dystrophy (MD) is a group of muscle diseases that weaken the musculoskeletal system and hamper locomotion. They include Duchenne, Becker, limb-girdle, congenital, facioscapulohumeral, myotonic, oculopharyngeal, distal, and Emery-Dreifuss muscular dystrophies. 
Most are caused by a mutation of a gene located on the X chromosome and therefore predominantly affect males. Different muscular dystrophies follow various inheritance patterns. Most types of MD are multi-system disorders with manifestations in body systems including the heart, gastrointestinal system, nervous system, endocrine glands, eyes and brain.
Any concern regarding eyes relates to pathology to the eye (or cornea) itself rather than any transmissible disease process. For example, droopy eyelids, possible ptosis or poor eyelid movement could create corneal problems.",Accept if the eyes are unaffected," Duchenne, Becker, limb-girdle, congenital, facioscapulohumeral, myotonic, oculopharyngeal, distal, and Emery-Dreifuss muscular dystrophies",MD,,
,Myasthenia Gravis,"Myasthenia gravis is an autoimmune neuromuscular disease leading to fluctuating muscle weakness and fatigue.
It is associated with various autoimmune diseases, including Thyroid diseases (including Hashimoto's thyroiditis and Graves' disease), Diabetes mellitus type 1, Rheumatoid arthritis, Lupus, and
Demyelinating CNS disease.
The hallmark of myasthenia gravis is fatigability. Muscles become progressively weaker during periods of activity and improve after periods of rest. Muscles that control eye and eyelid movement, facial expressions, chewing, talking, and swallowing are especially susceptible.
Indeed, in most cases, the first noticeable symptom is weakness of the eye muscles with possible ptosis.",Accept if the eyes are unaffected,,,,
,Myelodysplastic Syndrome,"The myelodysplastic syndromes (MDS, formerly known as preleukaemia) are a diverse collection of haematological medical conditions that involve dysplasia of the myeloid class of blood cells. There is some risk for developing acute myelogenous leukaemia that is notoriously resistant to treatment.
There is currently no definitive cause.",Must not donate,"Myelodysplasia, preleukaemia",MDS,,
,Myeloproliferative Disease (Syndrome),"The myeloproliferative diseases (MPDs) or myeloproliferative neoplasms (MPNs) are a group of diseases of the bone marrow in which excess cells are produced. They are related to, and may evolve into, myelodysplastic syndrome and acute myeloid leukaemia.",Must not donate,"Includes
Chronic myelogenous leukemia (CML)
Essential thrombocythemia (ET)
Polycythemia (rubra) vera (PV/PRV)
Primary myelofibrosis (PMF)","MPD, MPN, CML, ET, PV, PRV, PMF",,
,Myocarditis,"Myocarditis or inflammatory cardiomyopathy is inflammation of myocardium.
A large number of causes of myocarditis have been identified, but often a cause cannot be found. In developed countries, viruses are common culprits. Worldwide, however, the most common cause is Chagas' disease, endemic to Central and South America.","Accept:
a) If infection resolved.
b) If the cause is bacterial and the corneas are to be stored by organ culture.",Inflammatory cardiomyopathy,,,
,Myxoedema,,,,,Thyroid Disease,
,Needle stick injury,,,,,Inoculation injury,
,Nephritis,,,,,Kidney disease,
,Neurofibromatosis,"Neurofibromatosis refers to a number of inherited conditions that are clinically and genetically distinct and carry a high risk of tumour formation, particularly in the brain. It is an autosomal dominant disorder.",,,,Malignancy,
,Neurosurgery,,Accept if reason for surgery is not an exclusion BUT must not donate if humnan derived Dura mater was used duting surgery,,,Dura mater,
,Nonsteroidal anti-inflammatory drugs,See relevant entry for reason for treatment,,,NSAID,,
,Ocular surgery,,Accept if procedure is unlikely to prejudice quality and outcome of transplant,,,"Eye disease, laser treatment, malignancy",
,Onchocerciasis,"Onchocerciasis (River Blindness) is second in the world only to trachoma as an infectious cause of blindness. It is a form of subcutaneous filariasis is caused by Loa loa (the eye worm). It is not the nematode, but its endosymbiotic bacteria, Wolbachia pipientis, that causes the severe inflammatory response that leaves many blind. The parasite is transmitted to humans through the bite of a black fly of the genus Simulium. The larval nematodes spread throughout the body. When the worms die, their Wolbachia symbionts are released, triggering a host immune system response that can cause severe itching, and can destroy optical tissue in the eye.",Must not donate,River blindness,,,
,Orf,,,Contagious Pustular Dermatitis,,Contagious Pustular Dermatitis,
,Organ recipient,,,Tissue and Organ recipients,,Tissue and Organ recipients,
,Osteoarthritis,,Accept,Arthritis,OA,,
,Osteogenesis imperfecta,"Osteogenesis Imperfecta (OI), also known as brittle bone disease or Lobstein syndrome is a congenital bone disorder characterised by brittle bones that are prone to fracture. It is as a result of defective connective tissue due to defects in the genes relating to production of Collagen I or other connective tissue proteins. Pathology includes bones that fracture easily, loose joints, poor muscle tone and thin, discoloured sclera. Corneas may be compromised.",Should not donate,Brittle bone disease or Lobstein syndrome,OI,,
,Osteomalacia,"Osteomalacia is the softening of the bones caused by defective bone mineralization secondary to inadequate amounts of available phosphorus and calcium, or because of overactive resorption of calcium from the bone as a result of hyperparathyroidism - Such a donor would not be acceptable for bone donation.",Accept,,"OO, OOM",,
,Osteomyelitis,"Osteomyelitis is infection and inflammation of the bone or bone marrow. Sometimes it is difficult to be certain that all infection has been eliminated, and for bone donation an exclusion period of 2 years after completing treatment and cure is often applied. For eye donation one needs to consider the potential for systemic infection effecting the eyes – and if concerned then the corneas should be stored by organ culture.",Accept,,,,
,Osteoporosis,Bone banks would not accept for structural bone but may accept for non-weight bearing bone.,Accept,,OP,,
,Ovarian Cyst,,Accept,,,,
,Paget's disease of bone,,Accept,Osteitis deformans,,,
,Paratyphoid,"Paratyphoid fevers are a group of enteric illnesses caused by serotypic strains of the Salmonella genus of bacteria, S. Paratyphi. It is transmitted by the faecal-oral route (usually contaminated water or food) and do not have a chronic carrier state. The paratyphoid bears similarities with typhoid fever, and the two are referred to by the common name enteric fever. The course of paratyphoid is more benign.",Accept if a) normothermic storage and b) more than 7 days from completion of antibiotics and last symptoms,Enteric fever,,,
,Parkinson's Disease,"Parkinson's disease is a degenerative disorder of the central nervous system. The motor symptoms of Parkinson's disease result from the death of dopamine-generating cells in the substantia nigra, a region of the midbrain; the cause of this cell death is unknown. PD in most people is idiopathic. However a small proportion of cases can be attributed to known genetic factors. Genetic and pathological studies have revealed that various dysfunctional cellular processes, inflammation, and stress can all contribute to cell damage. In addition, abnormal clumps called Lewy bodies, which contain the protein alpha-synuclein, are found in many brain cells of individuals with Parkinson's disease. A proportion of patients with Parkinson's disease develop dementia. When dementia occurs in Parkinson's disease, the underlying cause may be dementia with Lewy bodies or Alzheimer's disease, or both. Other environmental risk factors include pesticide exposure, head injuries, and living in the country or farming. Smoking appears to confer some protective effect.  A theory of an infectious aetiology is also gaining some traction. Encephalitis lethargica a pandemic of which swept the world in the 1920s, caused Parkinson’s-like symptoms in many sufferers.  There is strong evidence that it was a virus that ultimately caused neurological symptoms appearing many years after the initial infection. The theory remains controversial. Parkinson’s disease is a contraindication because of its unknown cause, association with Lewy bodies as in forms of Alzheimer’s disease and CJD, and its potential for co-existence with, but disguising, more insidious progressive neurological disorders. However there is no direct evidence that Parkinson’s disease can be transmitted from human-to-human. ",Must not donate,"idiopathic or primary parkinsonism, hypokinetic rigid syndrome/HRS, or paralysis agitans",PD,,
,Peptic ulcer,,,,,Gastric ulcer,
,Pericarditis,"Pericarditis is an inflammation of the pericardium.
Infective causes include viral, bacterial, or fungal infection. Recent data suggest that the common viral forms are cytomegalovirus, herpesvirus, and HIV. Pneumococcus or tuberculous pericarditis are the most common bacterial forms.  Fungal pericarditis is usually due to histoplasmosis, or in immunocompromised hosts Aspergillus, Candida, and Coccidioides. The most common worldwide cause of pericarditis is infectious pericarditis with Tuberculosis.
Non-infectious causes include: Idiopathic, immunologic conditions including systemic lupus erythematosus  or rheumatic fever, myocardial infarction (Dressler's syndrome), trauma, uremic pericarditis, malignancy, side effect of some medications, e.g. isoniazid, cyclosporine, hydralazine, warfarin, heparin, tetracyclines. It can also follow after CABG surgery.
",Accept: A) if cause is bacterial and corneas are preserved by organ culture or B) non-infectious cause,,,Infection - acute,
,Peritonitis,"Peritonitis is an inflammation of the peritoneum, the thin tissue that lines the inner wall of the abdomen and covers most of the abdominal organs. Peritonitis may be localised or generalised, and may result from infection or from a non-infectious process. As a complication sepsis may develop, so blood cultures are often performed to monitor for this complication.
Perforation of part of the gastrointestinal tract is the most common cause of peritonitis. Disruption of the peritoneum may also cause infection simply by letting micro-organisms into the peritoneal cavity. Examples include trauma, surgical wound, and continuous ambulatory peritoneal dialysis.
Leakage of sterile body fluids into the peritoneum, such as blood, gastric juice, bile, urine or pancreatic juice (pancreatitis) can cause peritonitis.  However, while these body fluids are sterile at first, they can become infected once they leak out of their organ, leading to infectious peritonitis.
",,,,Infection - General,
,Permanent makeup,,,,,Body Piercing,
,Pituitary Extract - Human,"Human Pituitary Extracts have been contaminated with abnormal prions and have caused the transmission of CJD.
Between 1967 and 1985 cadaver derived pituitary hormones were officially supplied to 1,976 Australians as treatment for infertility and short stature. In addition, 187 people are known to have been treated with human pituitary derived hormones in Australia as part of special projects associated with metabolic growth problems, and between 1972 and 1978 on some IVF programs. A number of people also received treatment outside these programs, as early as 1963. A total of 2,163 people were treated with human pituitary derived hormones in Australia during this time. Their use in Australia ceased in May 1985 after overseas reports of deaths from CJD in people who received treatment with human growth hormone.
In Australia the first case of CJD in a pituitary hormone recipient was reported in 1988, a second case in 1990, a third and fourth cases in 1993 and a fifth case in 1995. All five individuals died between 1988 and 1991. Three of the five cases had confirmed CJD. There have been no further cases reported to date.
New Zealanders received hormone made in the United States from 1963 to 1985. Six people possibly contracted CJD out of 159 people treated.
Donors that have been given only synthetic pituitary hormones or gonadotrophin made from urine may be accepted.
",Must not donate if has ever received Human Pituitary Extract,"Adrenocorticotrophic hormone, Follicle Stimulating Hormone, Gonadotrophin,
Growth Hormone, Luteinising Hormone, Thyroid Stimulating Hormone
",,"Growth Hormone
Prion Associated Diseases
",
